Country of,Number 2019P,,,,,,,,,,,,,Number 2018R,,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,,,Country of,Receipt 2019R (Million Baht),,,,,,,,,,,,,Receipt 2018R (Million Baht),,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,
Belgium," 10,694 "," 10,198 "," 10,132 "," 10,880 "," 4,983 "," 7,041 "," 14,701 "," 8,311 ",,,,," 76,940 ","11,328","10,305","10,124","9,650","4,884","6,213","14,620","9,001","6,415","7,797","11,273","12,660","76,125",- 5.60,- 1.04,+ 0.08,+ 12.75,+ 2.03,+ 13.33,+ 0.55,- 7.67,- 100.00,- 100.00,- 100.00,- 100.00,+ 1.07,,Belgium, 710.84 , 666.00 , 667.16 , 657.00 , 302.87 , 414.21 , 957.57 , 540.19 ,,,,," 4,915.84 ", 749.68 , 681.98 , 670.00 , 588.14 , 297.66 , 378.67 ," 1,004.60 ", 618.50 , 440.81 , 518.18 , 749.20 , 841.39 ," 4,989.23 ",- 5.18,- 2.34,- 0.42,+ 11.71,+ 1.75,+ 9.39,- 4.68,- 12.66,- 100.00,- 100.00,- 100.00,- 100.00,- 1.47
Denmark," 29,848 "," 30,682 "," 17,431 "," 9,850 "," 4,719 "," 6,049 "," 12,865 "," 5,077 ",,,,," 116,521 ","30,211","30,175","21,627","8,226","5,546","6,092","14,219","5,451","5,480","9,488","13,276","19,582","121,547",- 1.20,+ 1.68,- 19.40,+ 19.74,- 14.91,- 0.71,- 9.52,- 6.86,- 100.00,- 100.00,- 100.00,- 100.00,- 4.14,,Denmark," 2,744.77 "," 2,772.08 "," 1,588.41 ", 852.12 , 410.83 , 510.36 ," 1,060.58 ", 417.82 ,,,,," 10,356.97 "," 2,674.22 "," 2,671.02 "," 1,914.37 ", 682.90 , 460.41 , 505.74 ," 1,224.14 ", 469.28 , 471.78 , 899.25 ," 1,258.26 "," 1,855.93 "," 10,602.08 ",+ 2.64,+ 3.78,- 17.03,+ 24.78,- 10.77,+ 0.91,- 13.36,- 10.97,- 100.00,- 100.00,- 100.00,- 100.00,- 2.31
Finland," 24,640 "," 22,211 "," 15,866 "," 4,577 "," 3,082 "," 4,098 "," 2,998 "," 2,392 ",,,,," 79,864 ","28,832","24,259","19,144","6,984","3,580","4,714","3,264","2,260","3,333","6,187","13,577","24,827","93,037",- 14.54,- 8.44,- 17.12,- 34.46,- 13.91,- 13.07,- 8.15,+ 5.84,- 100.00,- 100.00,- 100.00,- 100.00,- 14.16,,Finland," 2,013.23 "," 1,782.99 "," 1,284.16 ", 390.76 , 264.85 , 341.15 , 242.62 , 193.15 ,,,,," 6,512.91 "," 2,308.93 "," 1,942.71 "," 1,533.09 ", 579.62 , 297.11 , 391.23 , 269.52 , 186.61 , 275.21 , 496.17 ," 1,088.80 "," 1,991.01 "," 7,508.82 ",- 12.81,- 8.22,- 16.24,- 32.58,- 10.86,- 12.80,- 9.98,+ 3.50,- 100.00,- 100.00,- 100.00,- 100.00,- 13.26
France," 87,508 "," 115,241 "," 80,556 "," 64,322 "," 35,207 "," 30,584 "," 57,449 "," 60,138 ",,,,," 531,005 ","89,688","108,110","78,373","66,529","38,347","29,785","59,197","61,083","29,162","52,067","65,151","72,064","531,112",- 2.43,+ 6.60,+ 2.79,- 3.32,- 8.19,+ 2.68,- 2.95,- 1.55,- 100.00,- 100.00,- 100.00,- 100.00,- 0.02,,France," 5,434.64 "," 7,065.94 "," 4,955.89 "," 3,636.36 "," 1,984.53 "," 1,693.82 "," 3,665.15 "," 3,828.46 ",,,,," 32,264.79 "," 5,549.87 "," 6,689.82 "," 4,849.70 "," 3,680.29 "," 2,121.30 "," 1,647.67 "," 3,823.70 "," 3,945.52 "," 1,883.66 "," 3,216.80 "," 4,025.16 "," 4,452.25 "," 32,307.87 ",- 2.08,+ 5.62,+ 2.19,- 1.19,- 6.45,+ 2.80,- 4.15,- 2.97,- 100.00,- 100.00,- 100.00,- 100.00,- 0.13
Germany," 97,002 "," 101,915 "," 103,476 "," 74,980 "," 36,741 "," 37,741 "," 52,191 "," 52,259 ",,,,," 556,305 ","97,969","103,746","115,581","66,352","45,615","34,600","53,161","56,715","51,271","66,826","94,052","100,635","573,739",- 0.99,- 1.76,- 10.47,+ 13.00,- 19.45,+ 9.08,- 1.82,- 7.86,- 100.00,- 100.00,- 100.00,- 100.00,- 3.04,,Germany," 5,924.88 "," 6,145.27 "," 6,260.94 "," 4,640.63 "," 2,310.34 "," 2,299.41 "," 3,568.44 "," 3,565.41 ",,,,," 34,715.32 "," 5,860.17 "," 6,205.73 "," 6,913.65 "," 4,001.90 "," 2,751.19 "," 2,086.84 "," 3,659.97 "," 3,904.65 "," 3,529.85 "," 4,124.26 "," 5,804.57 "," 6,210.85 "," 35,384.10 ",+ 1.10,- 0.97,- 9.44,+ 15.96,- 16.02,+ 10.19,- 2.50,- 8.69,- 100.00,- 100.00,- 100.00,- 100.00,- 1.89
Italy," 36,324 "," 29,391 "," 22,309 "," 17,782 "," 9,623 "," 11,036 "," 17,275 "," 40,785 ",,,,," 184,525 ","37,867","29,017","22,144","15,160","9,906","11,749","18,330","43,941","13,902","15,120","25,173","37,596","188,114",- 4.07,+ 1.29,+ 0.75,+ 17.30,- 2.86,- 6.07,- 5.76,- 7.18,- 100.00,- 100.00,- 100.00,- 100.00,- 1.91,,Italy," 2,202.63 "," 1,751.01 "," 1,340.08 ", 987.76 , 538.04 , 612.09 ," 1,076.74 "," 2,537.31 ",,,,," 11,045.66 "," 2,250.57 "," 1,724.58 "," 1,316.11 ", 869.29 , 568.02 , 673.70 ," 1,163.85 "," 2,790.75 ", 882.70 ," 1,000.86 "," 1,666.31 "," 2,488.64 "," 11,356.87 ",- 2.13,+ 1.53,+ 1.82,+ 13.63,- 5.28,- 9.15,- 7.48,- 9.08,- 100.00,- 100.00,- 100.00,- 100.00,- 2.74
Netherlands," 23,549 "," 19,330 "," 17,746 "," 17,366 "," 12,782 "," 11,948 "," 41,844 "," 23,203 ",,,,," 167,768 ","23,665","18,820","15,808","18,037","13,140","11,993","37,465","23,328","12,833","16,436","20,400","24,340","162,256",- 0.49,+ 2.71,+ 12.26,- 3.72,- 2.72,- 0.38,+ 11.69,- 0.54,- 100.00,- 100.00,- 100.00,- 100.00,+ 3.40,,Netherlands," 1,691.61 "," 1,364.23 "," 1,262.79 "," 1,025.21 ", 774.46 , 704.27 ," 3,181.68 "," 1,760.49 ",,,,," 11,764.74 "," 1,731.92 "," 1,377.34 "," 1,156.91 "," 1,086.79 ", 791.73 , 722.62 ," 2,930.07 "," 1,824.45 "," 1,003.65 "," 1,092.46 "," 1,355.94 "," 1,617.82 "," 11,621.83 ",- 2.33,- 0.95,+ 9.15,- 5.67,- 2.18,- 2.54,+ 8.59,- 3.51,- 100.00,- 100.00,- 100.00,- 100.00,+ 1.23
Norway," 18,726 "," 16,837 "," 10,944 "," 8,032 "," 3,689 "," 9,407 "," 13,390 "," 4,259 ",,,,," 85,284 ","18,173","15,858","13,832","5,927","4,343","9,607","13,838","4,666","4,896","7,417","11,212","19,072","86,244",+ 3.04,+ 6.17,- 20.88,+ 35.52,- 15.06,- 2.08,- 3.24,- 8.72,- 100.00,- 100.00,- 100.00,- 100.00,- 1.11,,Norway," 1,601.04 "," 1,416.92 ", 925.22 , 738.47 , 336.86 , 840.79 ," 1,127.87 ", 355.50 ,,,,," 7,342.67 "," 1,505.47 "," 1,313.69 "," 1,145.86 ", 532.80 , 390.41 , 863.62 ," 1,174.78 ", 396.12 , 415.64 , 684.59 ," 1,034.87 "," 1,760.35 "," 7,322.75 ",+ 6.35,+ 7.86,- 19.26,+ 38.60,- 13.72,- 2.64,- 3.99,- 10.25,- 100.00,- 100.00,- 100.00,- 100.00,+ 0.27
Russia," 229,518 "," 191,559 "," 194,471 "," 108,308 "," 55,738 "," 45,962 "," 46,737 "," 46,325 ",,,,," 918,618 ","226,649","195,171","197,022","126,396","57,089","48,488","49,720","50,050","49,661","101,217","166,245","205,081","950,585",+ 1.27,- 1.85,- 1.29,- 14.31,- 2.37,- 5.21,- 6.00,- 7.44,- 100.00,- 100.00,- 100.00,- 100.00,- 3.36,,Russia," 15,681.59 "," 12,971.43 "," 13,224.36 "," 6,661.29 "," 3,437.96 "," 2,834.95 "," 3,794.70 "," 3,768.36 ",,,,," 62,374.64 "," 15,796.78 "," 13,604.24 "," 13,733.19 "," 7,752.54 "," 3,507.03 "," 2,980.16 "," 3,898.41 "," 3,927.01 "," 3,896.59 "," 7,700.84 "," 12,641.94 "," 15,592.87 "," 65,199.36 ",- 0.73,- 4.65,- 3.71,- 14.08,- 1.97,- 4.87,- 2.66,- 4.04,- 100.00,- 100.00,- 100.00,- 100.00,- 4.33
Spain," 11,268 "," 10,919 "," 11,376 "," 11,728 "," 7,808 "," 11,349 "," 23,178 "," 37,201 ",,,,," 124,827 ","10,732","10,164","12,991","8,680","8,016","11,024","22,543","34,944","15,973","16,248","16,982","13,583","119,094",+ 4.99,+ 7.43,- 12.43,+ 35.12,- 2.59,+ 2.95,+ 2.82,+ 6.46,- 100.00,- 100.00,- 100.00,- 100.00,+ 4.81,,Spain, 777.89 , 740.59 , 777.97 , 663.75 , 444.79 , 632.02 ," 1,379.21 "," 2,208.89 ",,,,," 7,625.11 ", 727.79 , 689.27 , 880.98 , 492.46 , 454.79 , 625.45 ," 1,370.93 "," 2,125.08 ", 971.38 ," 1,012.30 "," 1,058.03 ", 846.26 ," 7,366.75 ",+ 6.88,+ 7.45,- 11.69,+ 34.78,- 2.20,+ 1.05,+ 0.60,+ 3.94,- 100.00,- 100.00,- 100.00,- 100.00,+ 3.51
Sweden," 53,190 "," 48,404 "," 30,904 "," 12,608 "," 6,169 "," 10,787 "," 11,049 "," 6,121 ",,,,," 179,232 ","59,543","50,608","40,178","12,546","6,578","11,899","11,707","6,478","7,143","15,767","26,326","63,176","199,537",- 10.67,- 4.36,- 23.08,+ 0.49,- 6.22,- 9.35,- 5.62,- 5.51,- 100.00,- 100.00,- 100.00,- 100.00,- 10.18,,Sweden," 4,997.82 "," 4,426.48 "," 2,823.32 "," 1,004.90 ", 480.53 , 846.88 , 918.84 , 507.31 ,,,,," 16,006.08 "," 5,403.72 "," 4,592.84 "," 3,646.28 ", 998.12 , 523.32 , 946.64 , 969.78 , 536.62 , 591.70 ," 1,398.07 "," 2,334.35 "," 5,601.87 "," 17,617.32 ",- 7.51,- 3.62,- 22.57,+ 0.68,- 8.18,- 10.54,- 5.25,- 5.46,- 100.00,- 100.00,- 100.00,- 100.00,- 9.15
Switzerland," 22,484 "," 22,275 "," 17,102 "," 19,825 "," 8,459 "," 7,922 "," 15,682 "," 8,235 ",,,,," 121,984 ","24,847","24,241","20,660","18,967","9,332","8,005","18,896","9,192","9,754","15,022","20,538","28,017","134,140",- 9.51,- 8.11,- 17.22,+ 4.52,- 9.35,- 1.04,- 17.01,- 10.41,- 100.00,- 100.00,- 100.00,- 100.00,- 9.06,,Switzerland," 1,770.57 "," 1,710.51 "," 1,335.88 "," 1,420.62 ", 608.13 , 562.03 ," 1,203.13 ", 630.40 ,,,,," 9,241.27 "," 1,929.94 "," 1,882.87 "," 1,604.72 "," 1,324.66 ", 651.75 , 559.07 ," 1,439.99 ", 700.48 , 743.30 ," 1,151.34 "," 1,574.10 "," 2,147.32 "," 10,093.48 ",- 8.26,- 9.15,- 16.75,+ 7.24,- 6.69,+ 0.53,- 16.45,- 10.00,- 100.00,- 100.00,- 100.00,- 100.00,- 8.44
United  Kingdom," 97,241 "," 92,111 "," 91,686 "," 97,362 "," 61,653 "," 64,701 "," 79,872 "," 77,167 ",,,,," 661,793 ","93,464","88,843","101,460","86,529","61,732","65,075","79,779","77,921","58,836","74,084","89,163","109,968","654,803",+ 4.04,+ 3.68,- 9.63,+ 12.52,- 0.13,- 0.57,+ 0.12,- 0.97,- 100.00,- 100.00,- 100.00,- 100.00,+ 1.07,,United  Kingdom," 8,470.57 "," 7,758.70 "," 7,739.00 "," 6,742.36 "," 4,244.71 "," 4,395.91 "," 6,145.51 "," 5,908.66 ",,,,," 51,405.42 "," 7,698.06 "," 7,317.44 "," 8,356.65 "," 5,908.49 "," 4,215.26 "," 4,443.55 "," 6,090.59 "," 5,948.75 "," 4,491.74 "," 5,427.73 "," 6,532.49 "," 8,056.76 "," 49,978.79 ",+ 10.04,+ 6.03,- 7.39,+ 14.11,+ 0.70,- 1.07,+ 0.90,- 0.67,- 100.00,- 100.00,- 100.00,- 100.00,+ 2.85
East  Europe," 100,797 "," 83,312 "," 64,346 "," 30,045 "," 16,956 "," 17,438 "," 21,101 "," 19,103 ",,,,," 353,098 ","96,993","78,231","60,166","31,148","17,082","16,313","20,586","18,438","17,831","31,232","61,421","73,349","338,957",+ 3.92,+ 6.49,+ 6.95,- 3.54,- 0.74,+ 6.90,+ 2.50,+ 3.61,- 100.00,- 100.00,- 100.00,- 100.00,+ 4.17,,East  Europe," 6,336.92 "," 5,182.15 "," 4,043.87 "," 1,822.34 "," 1,012.11 "," 1,032.01 "," 1,342.54 "," 1,198.88 ",,,,," 21,970.82 "," 5,980.44 "," 4,823.60 "," 3,709.74 "," 1,828.56 "," 1,002.80 ", 957.66 ," 1,359.40 "," 1,217.55 "," 1,177.47 "," 2,053.49 "," 4,038.40 "," 4,822.66 "," 20,879.75 ",+ 5.96,+ 7.43,+ 9.01,- 0.34,+ 0.93,+ 7.76,- 1.24,- 1.53,- 100.00,- 100.00,- 100.00,- 100.00,+ 5.23
Others," 27,680 "," 23,398 "," 20,482 "," 20,986 "," 12,704 "," 17,090 "," 20,728 "," 20,687 ",,,,," 163,755 ","31,663","24,516","25,122","18,937","13,376","15,758","20,845","22,282","14,269","16,770","23,132","27,578","172,499",- 12.58,- 4.56,- 18.47,+ 10.82,- 5.02,+ 8.45,- 0.56,- 7.16,- 100.00,- 100.00,- 100.00,- 100.00,- 5.07,,Others," 2,031.59 "," 1,687.24 "," 1,489.17 "," 1,102.76 ", 671.93 , 892.21 ," 1,372.19 "," 1,366.55 ",,,,," 10,613.64 "," 2,231.16 "," 1,727.54 "," 1,770.24 "," 1,021.80 ", 721.74 , 850.27 ," 1,419.46 "," 1,517.31 ", 971.65 ," 1,178.81 "," 1,626.01 "," 1,938.54 "," 11,259.52 ",- 8.94,- 2.33,- 15.88,+ 7.92,- 6.90,+ 4.93,- 3.33,- 9.94,- 100.00,- 100.00,- 100.00,- 100.00,- 5.74
The  Americas," 172,002 "," 144,128 "," 156,457 "," 135,253 "," 115,548 "," 121,900 "," 121,334 "," 99,131 ",,,,," 1,065,753 ","167,713","141,773","159,149","128,973","115,719","116,824","116,897","96,661","90,456","117,085","165,616","182,357","1,043,709",+ 2.56,+ 1.66,- 1.69,+ 4.87,- 0.15,+ 4.34,+ 3.80,+ 2.56,- 100.00,- 100.00,- 100.00,- 100.00,+ 2.11,,The  Americas," 11,964.81 "," 10,234.79 "," 11,209.73 "," 9,272.29 "," 7,910.94 "," 8,297.16 "," 8,920.82 "," 7,254.17 ",,,,," 75,064.71 "," 11,893.85 "," 10,065.32 "," 11,268.74 "," 8,634.37 "," 7,761.26 "," 7,896.15 "," 8,806.00 "," 7,289.52 "," 6,815.20 "," 8,804.09 "," 12,442.99 "," 13,699.66 "," 73,615.21 ",+ 0.60,+ 1.68,- 0.52,+ 7.39,+ 1.93,+ 5.08,+ 1.30,- 0.48,- 100.00,- 100.00,- 100.00,- 100.00,+ 1.97
Argentina," 5,022 "," 3,526 "," 3,197 "," 2,536 "," 1,912 "," 1,264 "," 1,298 "," 1,367 ",,,,," 20,122 ","8,885","7,540","7,486","4,640","2,928","1,468","1,333","1,267","1,264","2,088","2,457","2,668","35,547",- 43.48,- 53.24,- 57.29,- 45.34,- 34.70,- 13.90,- 2.63,+ 7.89,- 100.00,- 100.00,- 100.00,- 100.00,- 43.39,,Argentina, 344.85 , 241.83 , 221.03 , 134.78 , 100.71 , 65.63 , 92.72 , 97.37 ,,,,," 1,298.92 ", 620.62 , 526.67 , 522.89 , 244.77 , 154.46 , 77.45 , 97.41 , 92.59 , 92.36 , 144.82 , 170.40 , 185.04 ," 2,336.86 ",- 44.43,- 54.08,- 57.73,- 44.94,- 34.80,- 15.26,- 4.81,+ 5.16,- 100.00,- 100.00,- 100.00,- 100.00,- 44.42
Brazil," 8,071 "," 6,669 "," 7,256 "," 5,642 "," 4,069 "," 3,191 "," 2,994 "," 3,359 ",,,,," 41,251 ","9,110","6,989","6,480","5,541","3,670","2,634","2,884","3,290","3,063","4,222","7,998","10,119","40,598",- 11.41,- 4.58,+ 11.98,+ 1.82,+ 10.87,+ 21.15,+ 3.81,+ 2.10,- 100.00,- 100.00,- 100.00,- 100.00,+ 1.61,,Brazil, 566.71 , 467.71 , 512.97 , 397.82 , 284.32 , 217.64 , 207.04 , 231.60 ,,,,," 2,885.81 ", 669.07 , 513.30 , 475.91 , 378.33 , 250.58 , 179.85 , 213.85 , 243.95 , 227.12 , 295.96 , 560.66 , 709.33 ," 2,924.84 ",- 15.30,- 8.88,+ 7.79,+ 5.15,+ 13.46,+ 21.01,- 3.18,- 5.06,- 100.00,- 100.00,- 100.00,- 100.00,- 1.33
Canada," 33,628 "," 30,020 "," 28,904 "," 23,182 "," 19,890 "," 15,521 "," 17,276 "," 15,295 ",,,,," 183,716 ","32,202","28,959","29,447","22,809","21,087","16,395","17,450","15,475","13,981","19,660","27,312","31,317","183,824",+ 4.43,+ 3.66,- 1.84,+ 1.64,- 5.68,- 5.33,- 1.00,- 1.16,- 100.00,- 100.00,- 100.00,- 100.00,- 0.06,,Canada," 2,460.07 "," 2,208.61 "," 2,158.04 "," 1,512.94 "," 1,288.07 "," 1,003.72 "," 1,392.39 "," 1,219.41 ",,,,," 13,243.25 "," 2,476.20 "," 2,226.83 "," 2,264.36 "," 1,465.68 "," 1,355.03 "," 1,053.52 "," 1,442.49 "," 1,279.88 "," 1,155.72 "," 1,563.74 "," 2,172.37 "," 2,490.92 "," 13,563.99 ",- 0.65,- 0.82,- 4.70,+ 3.22,- 4.94,- 4.73,- 3.47,- 4.72,- 100.00,- 100.00,- 100.00,- 100.00,- 2.36
USA," 116,908 "," 96,064 "," 109,604 "," 94,254 "," 82,815 "," 95,581 "," 92,634 "," 73,574 ",,,,," 761,434 ","109,577","90,388","106,562","88,698","81,146","90,468","88,382","71,207","65,071","83,004","118,136","129,631","726,428",+ 6.69,+ 6.28,+ 2.85,+ 6.26,+ 2.06,+ 5.65,+ 4.81,+ 3.32,- 100.00,- 100.00,- 100.00,- 100.00,+ 4.82,,USA," 8,038.11 "," 6,796.94 "," 7,817.36 "," 6,674.80 "," 5,840.49 "," 6,644.49 "," 6,760.34 "," 5,349.41 ",,,,," 53,921.94 "," 7,574.81 "," 6,248.31 "," 7,366.39 "," 6,124.27 "," 5,602.83 "," 6,246.48 "," 6,562.01 "," 5,284.94 "," 4,833.37 "," 6,188.39 "," 8,807.67 "," 9,664.68 "," 51,010.04 ",+ 6.12,+ 8.78,+ 6.12,+ 8.99,+ 4.24,+ 6.37,+ 3.02,+ 1.22,- 100.00,- 100.00,- 100.00,- 100.00,+ 5.71
Others," 8,373 "," 7,849 "," 7,496 "," 9,639 "," 6,862 "," 6,343 "," 7,132 "," 5,536 ",,,,," 59,230 ","7,939","7,897","9,174","7,285","6,888","5,859","6,848","5,422","7,077","8,111","9,713","8,622","57,312",+ 5.47,- 0.61,- 18.29,+ 32.31,- 0.38,+ 8.26,+ 4.15,+ 2.10,- 100.00,- 100.00,- 100.00,- 100.00,+ 3.35,,Others, 555.07 , 519.70 , 500.33 , 551.95 , 397.35 , 365.68 , 468.33 , 356.38 ,,,,," 3,714.79 ", 553.15 , 550.21 , 639.19 , 421.32 , 398.36 , 338.85 , 490.24 , 388.16 , 506.63 , 611.18 , 731.89 , 649.69 ," 3,779.48 ",+ 0.35,- 5.55,- 21.72,+ 31.00,- 0.25,+ 7.92,- 4.47,- 8.19,- 100.00,- 100.00,- 100.00,- 100.00,- 1.71
