Country of,Number 2019P,,,,,,,,,,,,,Number 2018R,,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,,,Country of,Receipt 2019R (Million Baht),,,,,,,,,,,,,Receipt 2018R (Million Baht),,,,,,,,,,,,,%CH (Y-o-Y),,,,,,,,,,,,
South  Asia," 197,999 "," 151,442 "," 199,039 "," 197,553 "," 192,718 "," 227,442 "," 196,704 "," 209,711 ",,,,," 1,572,608 ","165,730","135,144","152,823","153,023","180,337","181,760","163,457","167,422","154,034","149,941","171,637","209,521","1,299,696",+ 19.47,+ 12.06,+ 30.24,+ 29.10,+ 6.87,+ 25.13,+ 20.34,+ 25.26,- 100.00,- 100.00,- 100.00,- 100.00,+ 21.00,,South  Asia," 8,550.04 "," 6,576.79 "," 8,671.34 "," 8,172.27 "," 7,831.07 "," 9,542.01 "," 9,290.67 "," 9,774.31 ",,,,," 68,408.50 "," 7,098.81 "," 5,768.27 "," 6,532.83 "," 6,258.52 "," 7,162.39 "," 7,360.23 "," 7,397.54 "," 7,562.40 "," 6,927.94 "," 7,575.05 "," 8,577.80 "," 10,530.02 "," 55,140.99 ",+ 20.44,+ 14.02,+ 32.73,+ 30.58,+ 9.34,+ 29.64,+ 25.59,+ 29.25,- 100.00,- 100.00,- 100.00,- 100.00,+ 24.06
Bangladesh," 10,284 "," 9,984 "," 12,237 "," 10,419 "," 5,682 "," 14,076 "," 9,824 "," 14,214 ",,,,," 86,720 ","12,966","10,670","11,674","10,367","8,144","11,795","10,004","12,784","8,475","10,486","9,111","13,098","88,404",- 20.68,- 6.43,+ 4.82,+ 0.50,- 30.23,+ 19.34,- 1.80,+ 11.19,- 100.00,- 100.00,- 100.00,- 100.00,- 1.90,,Bangladesh, 563.20 , 546.15 , 674.80 , 511.93 , 291.16 , 677.62 , 459.76 , 663.40 ,,,,," 4,388.02 ", 682.39 , 561.55 , 614.39 , 491.68 , 386.25 , 559.40 , 491.94 , 628.65 , 416.76 , 581.35 , 505.12 , 726.17 ," 4,416.25 ",- 17.47,- 2.74,+ 9.83,+ 4.12,- 24.62,+ 21.13,- 6.54,+ 5.53,- 100.00,- 100.00,- 100.00,- 100.00,- 0.64
India," 163,794 "," 123,272 "," 163,158 "," 163,938 "," 173,033 "," 191,590 "," 164,159 "," 172,276 ",,,,," 1,315,220 ","131,048","107,448","121,157","121,284","156,075","150,587","130,765","130,094","122,933","117,448","141,388","168,119","1,048,458",+ 24.99,+ 14.73,+ 34.67,+ 35.17,+ 10.87,+ 27.23,+ 25.54,+ 32.42,- 100.00,- 100.00,- 100.00,- 100.00,+ 25.44,,India," 6,707.29 "," 5,096.48 "," 6,753.44 "," 6,330.03 "," 6,725.50 "," 7,598.06 "," 7,752.36 "," 8,035.56 ",,,,," 54,998.72 "," 5,247.66 "," 4,302.78 "," 4,851.73 "," 4,561.04 "," 5,869.35 "," 5,662.97 "," 5,731.38 "," 5,701.98 "," 5,379.04 "," 5,629.76 "," 6,777.28 "," 8,052.21 "," 41,928.89 ",+ 27.81,+ 18.45,+ 39.20,+ 38.78,+ 14.59,+ 34.17,+ 35.26,+ 40.93,- 100.00,- 100.00,- 100.00,- 100.00,+ 31.17
Nepal," 5,549 "," 3,485 "," 4,758 "," 4,572 "," 3,951 "," 4,786 "," 5,712 "," 5,825 ",,,,," 38,638 ","5,117","3,253","3,612","3,349","3,325","3,894","3,853","6,673","6,070","7,045","4,406","4,449","33,076",+ 8.44,+ 7.13,+ 31.73,+ 36.52,+ 18.83,+ 22.91,+ 48.25,- 12.71,- 100.00,- 100.00,- 100.00,- 100.00,+ 16.82,,Nepal, 276.12 , 170.51 , 236.77 , 254.25 , 225.66 , 274.58 , 275.69 , 278.17 ,,,,," 1,991.75 ", 264.76 , 168.31 , 186.89 , 181.45 , 180.15 , 210.98 , 186.62 , 323.21 , 294.00 , 456.23 , 285.34 , 288.12 ," 1,702.37 ",+ 4.29,+ 1.31,+ 26.69,+ 40.12,+ 25.26,+ 30.15,+ 47.73,- 13.94,- 100.00,- 100.00,- 100.00,- 100.00,+ 17.00
Pakistan," 7,830 "," 5,813 "," 7,470 "," 6,206 "," 2,665 "," 7,379 "," 7,042 "," 6,013 ",,,,," 50,418 ","6,907","5,759","7,022","7,329","4,397","7,272","9,843","7,131","6,742","6,757","6,593","9,229","55,660",+ 13.36,+ 0.94,+ 6.38,- 15.32,- 39.39,+ 1.47,- 28.46,- 15.68,- 100.00,- 100.00,- 100.00,- 100.00,- 9.42,,Pakistan, 472.89 , 342.72 , 447.62 , 407.24 , 171.63 , 456.23 , 333.28 , 282.69 ,,,,," 2,914.30 ", 421.98 , 351.84 , 429.01 , 474.92 , 284.93 , 471.22 , 531.91 , 385.36 , 364.34 , 438.48 , 427.84 , 598.90 ," 3,351.17 ",+ 12.06,- 2.59,+ 4.34,- 14.25,- 39.76,- 3.18,- 37.34,- 26.64,- 100.00,- 100.00,- 100.00,- 100.00,- 13.04
Sri  Lanka," 5,029 "," 5,601 "," 6,699 "," 8,328 "," 4,465 "," 4,512 "," 5,061 "," 6,809 ",,,,," 46,504 ","4,054","4,580","5,128","7,363","5,334","4,196","4,329","6,434","6,136","4,616","5,599","6,991","41,418",+ 24.05,+ 22.29,+ 30.64,+ 13.11,- 16.29,+ 7.53,+ 16.91,+ 5.83,- 100.00,- 100.00,- 100.00,- 100.00,+ 12.28,,Sri  Lanka, 205.42 , 227.32 , 278.63 , 376.21 , 200.09 , 196.15 , 190.25 , 254.78 ,,,,," 1,928.85 ", 173.23 , 195.71 , 219.14 , 325.20 , 235.59 , 185.32 , 181.92 , 270.39 , 257.86 , 217.99 , 264.41 , 330.15 ," 1,786.50 ",+ 18.58,+ 16.15,+ 27.15,+ 15.69,- 15.07,+ 5.84,+ 4.58,- 5.77,- 100.00,- 100.00,- 100.00,- 100.00,+ 7.97
Others," 5,513 "," 3,287 "," 4,717 "," 4,090 "," 2,922 "," 5,099 "," 4,906 "," 4,574 ",,,,," 35,108 ","5,638","3,434","4,230","3,331","3,062","4,016","4,663","4,306","3,678","3,589","4,540","7,635","32,680",- 2.22,- 4.28,+ 11.51,+ 22.79,- 4.57,+ 26.97,+ 5.21,+ 6.22,- 100.00,- 100.00,- 100.00,- 100.00,+ 7.43,,Others, 325.12 , 193.61 , 280.08 , 292.61 , 217.03 , 339.37 , 279.33 , 259.71 ,,,,," 2,186.86 ", 308.79 , 188.08 , 231.67 , 224.23 , 206.12 , 270.34 , 273.77 , 252.81 , 215.94 , 251.24 , 317.81 , 534.47 ," 1,955.81 ",+ 5.29,+ 2.94,+ 20.90,+ 30.50,+ 5.29,+ 25.53,+ 2.03,+ 2.73,- 100.00,- 100.00,- 100.00,- 100.00,+ 11.81
Oceania," 80,041 "," 58,211 "," 63,089 "," 85,932 "," 68,638 "," 75,978 "," 85,963 "," 69,034 ",,,,," 586,886 ","81,227","58,204","73,232","83,339","66,665","76,498","92,429","71,981","79,620","82,361","72,582","83,839","603,575",- 1.46,+ 0.01,- 13.85,+ 3.11,+ 2.96,- 0.68,- 7.00,- 4.09,- 100.00,- 100.00,- 100.00,- 100.00,- 2.77,,Oceania," 6,292.80 "," 4,503.34 "," 4,876.84 "," 5,755.33 "," 4,566.79 "," 4,957.38 "," 6,586.19 "," 5,222.95 ",,,,," 42,761.62 "," 6,321.07 "," 4,529.71 "," 5,698.33 "," 5,512.67 "," 4,393.46 "," 5,040.72 "," 7,319.14 "," 5,699.15 "," 6,321.36 "," 5,873.05 "," 5,176.91 "," 5,979.08 "," 44,514.25 ",- 0.45,- 0.58,- 14.42,+ 4.40,+ 3.95,- 1.65,- 10.01,- 8.36,- 100.00,- 100.00,- 100.00,- 100.00,- 3.94
Australia," 70,799 "," 51,483 "," 55,492 "," 75,202 "," 59,366 "," 64,918 "," 73,069 "," 58,530 ",,,,," 508,859 ","71,628","51,372","64,567","73,324","57,396","65,752","78,553","61,103","69,565","71,599","63,404","72,940","523,695",- 1.16,+ 0.22,- 14.06,+ 2.56,+ 3.43,- 1.27,- 6.98,- 4.21,- 100.00,- 100.00,- 100.00,- 100.00,- 2.83,,Australia," 5,641.27 "," 4,029.70 "," 4,346.53 "," 5,152.84 "," 4,047.51 "," 4,351.29 "," 5,689.20 "," 4,500.31 ",,,,," 37,758.65 "," 5,668.79 "," 4,065.68 "," 5,109.97 "," 4,958.56 "," 3,881.43 "," 4,446.50 "," 6,323.65 "," 4,918.89 "," 5,600.10 "," 5,119.02 "," 4,533.12 "," 5,214.91 "," 39,373.47 ",- 0.49,- 0.88,- 14.94,+ 3.92,+ 4.28,- 2.14,- 10.03,- 8.51,- 100.00,- 100.00,- 100.00,- 100.00,- 4.10
New  Zealand," 8,921 "," 6,424 "," 7,214 "," 10,350 "," 8,918 "," 10,685 "," 12,536 "," 10,148 ",,,,," 75,196 ","9,361","6,594","8,309","9,735","8,918","10,407","13,560","10,461","9,705","10,467","8,743","10,466","77,345",- 4.70,- 2.58,- 13.18,+ 6.32,+ 0.00,+ 2.67,- 7.55,- 2.99,- 100.00,- 100.00,- 100.00,- 100.00,- 2.78,,New  Zealand, 630.57 , 453.81 , 505.13 , 583.93 , 501.99 , 588.91 , 873.37 , 699.23 ,,,,," 4,836.94 ", 636.84 , 448.59 , 565.27 , 541.00 , 495.60 , 578.35 , 973.06 , 750.67 , 696.42 , 732.21 , 611.61 , 732.14 ," 4,989.38 ",- 0.98,+ 1.16,- 10.64,+ 7.94,+ 1.29,+ 1.83,- 10.25,- 6.85,- 100.00,- 100.00,- 100.00,- 100.00,- 3.06
Others, 321 , 304 , 383 , 380 , 354 , 375 , 358 , 356 ,,,,," 2,831 ",238,238,356,280,351,339,316,417,350,295,435,433,"2,535",+ 34.87,+ 27.73,+ 7.58,+ 35.71,+ 0.85,+ 10.62,+ 13.29,- 14.63,- 100.00,- 100.00,- 100.00,- 100.00,+ 11.68,,Others, 20.96 , 19.83 , 25.18 , 18.56 , 17.29 , 17.18 , 23.62 , 23.41 ,,,,, 166.03 , 15.44 , 15.44 , 23.09 , 13.11 , 16.43 , 15.87 , 22.43 , 29.59 , 24.84 , 21.82 , 32.18 , 32.03 , 151.40 ,+ 35.75,+ 28.43,+ 9.05,+ 41.57,+ 5.23,+ 8.25,+ 5.31,- 20.89,- 100.00,- 100.00,- 100.00,- 100.00,+ 9.66
Middle  East," 58,490 "," 44,536 "," 56,340 "," 57,174 "," 20,386 "," 61,478 "," 98,610 "," 91,074 ",,,,," 488,088 ","67,734","46,400","72,469","50,712","26,764","54,185","113,781","103,162","60,472","39,634","48,110","56,075","535,207",- 13.65,- 4.02,- 22.26,+ 12.74,- 23.83,+ 13.46,- 13.33,- 11.72,- 100.00,- 100.00,- 100.00,- 100.00,- 8.80,,Middle  East," 4,707.69 "," 3,611.70 "," 4,402.15 "," 4,669.58 "," 1,722.76 "," 4,848.71 "," 7,823.73 "," 7,246.19 ",,,,," 39,032.51 "," 5,254.55 "," 3,602.96 "," 5,538.69 "," 3,948.66 "," 2,087.48 "," 4,181.13 "," 9,099.31 "," 8,307.92 "," 4,974.46 "," 3,374.51 "," 4,124.99 "," 4,807.37 "," 42,020.70 ",- 10.41,+ 0.24,- 20.52,+ 18.26,- 17.47,+ 15.97,- 14.02,- 12.78,- 100.00,- 100.00,- 100.00,- 100.00,- 7.11
Egypt," 2,007 "," 1,655 "," 1,998 "," 1,985 ", 620 ," 2,156 "," 2,247 "," 2,558 ",,,,," 15,226 ","2,226","1,567","1,826","2,093",945,"1,826","2,755","2,793","2,076","1,923","1,984","2,047","16,031",- 9.84,+ 5.62,+ 9.42,- 5.16,- 34.39,+ 18.07,- 18.44,- 8.41,- 100.00,- 100.00,- 100.00,- 100.00,- 5.02,,Egypt, 179.02 , 142.69 , 174.29 , 159.95 , 52.80 , 165.86 , 168.84 , 191.82 ,,,,," 1,235.27 ", 188.32 , 132.57 , 154.48 , 158.42 , 71.53 , 138.22 , 210.35 , 213.24 , 158.50 , 156.80 , 161.78 , 166.91 ," 1,267.13 ",- 4.94,+ 7.63,+ 12.82,+ 0.97,- 26.18,+ 20.00,- 19.73,- 10.05,- 100.00,- 100.00,- 100.00,- 100.00,- 2.51
Israel," 18,314 "," 17,359 "," 13,633 "," 20,656 "," 8,366 "," 8,615 "," 18,706 "," 19,191 ",,,,," 124,840 ","17,711","14,813","21,026","11,884","7,110","7,780","18,951","20,032","25,423","10,010","15,914","18,134","119,307",+ 3.40,+ 17.19,- 35.16,+ 73.81,+ 17.67,+ 10.73,- 1.29,- 4.20,- 100.00,- 100.00,- 100.00,- 100.00,+ 4.64,,Israel," 1,612.63 "," 1,549.40 "," 1,223.84 "," 1,932.32 ", 788.46 , 801.12 ," 1,645.99 "," 1,694.37 ",,,,," 11,248.13 "," 1,600.67 "," 1,338.76 "," 1,900.27 "," 1,072.14 ", 641.44 , 701.89 ," 1,661.54 "," 1,756.31 "," 2,228.96 ", 930.89 ," 1,479.94 "," 1,686.38 "," 10,673.02 ",+ 0.75,+ 15.73,- 35.60,+ 80.23,+ 22.92,+ 14.14,- 0.94,- 3.53,- 100.00,- 100.00,- 100.00,- 100.00,+ 5.39
Kuwait," 7,963 "," 4,547 "," 4,628 "," 4,826 "," 2,133 "," 9,926 "," 12,786 "," 13,078 ",,,,," 59,887 ","8,555","4,067","4,640","4,827","2,374","7,222","12,150","13,225","4,400","4,229","4,285","4,691","57,060",- 6.92,+ 11.80,- 0.26,- 0.02,- 10.15,+ 37.44,+ 5.23,- 1.11,- 100.00,- 100.00,- 100.00,- 100.00,+ 4.95,,Kuwait, 820.11 , 466.96 , 478.96 , 463.36 , 211.34 , 925.34 ," 1,138.90 "," 1,162.05 ",,,,," 5,667.02 ", 832.03 , 395.54 , 451.27 , 447.74 , 220.20 , 669.89 ," 1,123.19 "," 1,222.57 ", 406.75 , 418.77 , 424.32 , 464.52 ," 5,362.43 ",- 1.43,+ 18.06,+ 6.14,+ 3.49,- 4.02,+ 38.13,+ 1.40,- 4.95,- 100.00,- 100.00,- 100.00,- 100.00,+ 5.68
Saudi  Arabia," 1,795 "," 1,446 "," 2,018 "," 1,737 ", 529 ," 5,612 "," 5,149 "," 4,104 ",,,,," 22,390 ","2,353","1,283","1,735","1,957",687,"4,295","5,217","3,977","1,750","1,444","1,380","2,259","21,504",- 23.71,+ 12.70,+ 16.31,- 11.24,- 23.00,+ 30.66,- 1.30,+ 3.19,- 100.00,- 100.00,- 100.00,- 100.00,+ 4.12,,Saudi  Arabia, 175.01 , 140.82 , 198.11 , 143.78 , 45.08 , 449.34 , 462.59 , 367.63 ,,,,," 1,982.36 ", 221.39 , 120.72 , 163.25 , 155.91 , 54.73 , 342.17 , 501.25 , 382.10 , 168.14 , 143.65 , 137.29 , 224.73 ," 1,941.52 ",- 20.95,+ 16.65,+ 21.35,- 7.78,- 17.63,+ 31.32,- 7.71,- 3.79,- 100.00,- 100.00,- 100.00,- 100.00,+ 2.10
U.A.E.," 7,965 "," 4,827 "," 10,253 "," 10,110 "," 1,728 "," 10,875 "," 25,072 "," 23,968 ",,,,," 94,798 ","6,637","4,651","11,778","8,303","3,346","8,174","26,417","24,911","8,656","6,831","7,457","11,109","94,217",+ 20.01,+ 3.78,- 12.95,+ 21.76,- 48.36,+ 33.04,- 5.09,- 3.79,- 100.00,- 100.00,- 100.00,- 100.00,+ 0.62,,U.A.E., 602.24 , 364.54 , 780.56 , 755.41 , 133.10 , 825.71 ," 1,809.71 "," 1,725.03 ",,,,," 6,996.30 ", 490.97 , 344.05 , 871.28 , 617.20 , 248.72 , 607.61 ," 1,972.45 "," 1,860.01 ", 646.31 , 532.60 , 581.40 , 866.14 ," 7,012.29 ",+ 22.66,+ 5.96,- 10.41,+ 22.39,- 46.49,+ 35.89,- 8.25,- 7.26,- 100.00,- 100.00,- 100.00,- 100.00,- 0.23
Others," 20,446 "," 14,702 "," 23,810 "," 17,860 "," 7,010 "," 24,294 "," 34,650 "," 28,175 ",,,,," 170,947 ","30,252","20,019","31,464","21,648","12,302","24,888","48,291","38,224","18,167","15,197","17,090","17,835","227,088",- 32.41,- 26.56,- 24.33,- 17.50,- 43.02,- 2.39,- 28.25,- 26.29,- 100.00,- 100.00,- 100.00,- 100.00,- 24.72,,Others," 1,318.68 ", 947.29 ," 1,546.39 "," 1,214.76 ", 491.98 ," 1,681.34 "," 2,597.70 "," 2,105.29 ",,,,," 11,903.43 "," 1,921.17 "," 1,271.32 "," 1,998.14 "," 1,497.25 ", 850.86 ," 1,721.35 "," 3,630.53 "," 2,873.69 "," 1,365.80 "," 1,191.80 "," 1,340.26 "," 1,398.69 "," 15,764.31 ",- 31.36,- 25.49,- 22.61,- 18.87,- 42.18,- 2.32,- 28.45,- 26.74,- 100.00,- 100.00,- 100.00,- 100.00,- 24.49
Africa," 12,831 "," 11,845 "," 16,579 "," 15,898 "," 12,822 "," 17,566 "," 15,640 "," 17,312 ",,,,," 120,493 ","13,679","10,713","16,265","18,670","13,203","15,719","18,100","17,497","17,711","17,035","15,932","26,956","123,846",- 6.20,+ 10.57,+ 1.93,- 14.85,- 2.89,+ 11.75,- 13.59,- 1.06,- 100.00,- 100.00,- 100.00,- 100.00,- 2.71,,Africa, 956.90 , 881.08 ," 1,228.90 "," 1,140.38 ", 918.57 ," 1,241.32 "," 1,119.14 "," 1,241.40 ",,,,," 8,727.69 "," 1,020.48 ", 800.91 ," 1,210.95 "," 1,325.52 ", 942.41 ," 1,110.11 "," 1,293.68 "," 1,278.04 "," 1,249.12 "," 1,193.37 "," 1,131.94 "," 1,871.31 "," 8,982.10 ",- 6.23,+ 10.01,+ 1.48,- 13.97,- 2.53,+ 11.82,- 13.49,- 2.87,- 100.00,- 100.00,- 100.00,- 100.00,- 2.83
S.Africa," 5,442 "," 4,427 "," 7,718 "," 7,946 "," 6,782 "," 9,833 "," 6,139 "," 6,192 ",,,,," 54,479 ","6,128","4,296","8,017","10,686","7,121","9,509","8,871","6,746","9,794","8,918","6,397","16,204","61,374",- 11.19,+ 3.05,- 3.73,- 25.64,- 4.76,+ 3.41,- 30.80,- 8.21,- 100.00,- 100.00,- 100.00,- 100.00,- 11.23,,S.Africa, 397.02 , 319.66 , 552.89 , 507.65 , 432.91 , 598.74 , 362.80 , 359.66 ,,,,," 3,531.33 ", 445.79 , 312.52 , 583.21 , 706.01 , 470.48 , 628.24 , 566.13 , 430.51 , 625.02 , 590.10 , 423.29 ," 1,072.21 "," 4,142.89 ",- 10.94,+ 2.28,- 5.20,- 28.10,- 7.99,- 4.70,- 35.92,- 16.46,- 100.00,- 100.00,- 100.00,- 100.00,- 14.76
Others," 7,389 "," 7,418 "," 8,861 "," 7,952 "," 6,040 "," 7,733 "," 9,501 "," 11,120 ",,,,," 66,014 ","7,551","6,417","8,248","7,984","6,082","6,210","9,229","10,751","7,917","8,117","9,535","10,752","62,472",- 2.15,+ 15.60,+ 7.43,- 0.40,- 0.69,+ 24.52,+ 2.95,+ 3.43,- 100.00,- 100.00,- 100.00,- 100.00,+ 5.67,,Others, 559.88 , 561.42 , 676.01 , 632.73 , 485.66 , 642.58 , 756.34 , 881.74 ,,,,," 5,196.36 ", 574.69 , 488.39 , 627.74 , 619.51 , 471.93 , 481.87 , 727.55 , 847.53 , 624.10 , 603.27 , 708.65 , 799.10 ," 4,839.21 ",- 2.58,+ 14.95,+ 7.69,+ 2.13,+ 2.91,+ 33.35,+ 3.96,+ 4.04,- 100.00,- 100.00,- 100.00,- 100.00,+ 7.38
Grand  Total," 3,718,504 "," 3,603,654 "," 3,473,088 "," 3,195,006 "," 2,726,808 "," 3,052,287 "," 3,327,198 "," 3,466,456 ",,,,," 26,563,001 ","3,531,483","3,552,119","3,494,645","3,096,067","2,737,834","3,013,304","3,177,088","3,229,031","2,636,115","2,704,002","3,170,996","3,835,510","25,831,571",+ 5.30,+ 1.45,- 0.62,+ 3.20,- 0.40,+ 1.29,+ 4.72,+ 7.35,- 100.00,- 100.00,- 100.00,- 100.00,+ 2.83,,Grand  Total," 195,830.15 "," 184,857.37 "," 176,258.09 "," 146,283.02 "," 118,020.92 "," 131,322.51 "," 167,282.51 "," 169,771.51 ",,,,," 1,289,626.08 "," 184,513.52 "," 182,230.09 "," 177,544.49 "," 139,635.97 "," 118,279.28 "," 128,769.99 "," 162,234.73 "," 159,917.79 "," 128,410.52 "," 135,263.14 "," 162,068.97 "," 197,268.41 "," 1,253,125.86 ",+ 6.13,+ 1.44,- 0.72,+ 4.76,- 0.22,+ 1.98,+ 3.11,+ 6.16,- 100.00,- 100.00,- 100.00,- 100.00,+ 2.91
